             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          12237035       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237036       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237037       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237038       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237039       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237040       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237041       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237042       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237043       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237044       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237045       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237046       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237047       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237048       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237049       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237050       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237051       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237052       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237053       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237054       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237055       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237056       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237057       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237058       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237059       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
