exchange_percentage, best_hp, corresponding_loss
0.1, 0.001, 0.015082509679657019
0.2, 0.001, 0.017860915421853578
0.3, 0.001, 0.03470207204979457
0.4, 0.001, 0.04080122940326005
0.5, 0.001, 0.051620201904619675
0.6, 0.001, 0.06637392811309756
0.7, 0.001, 0.04696923289238737
0.8, 0.001, 0.0448955874220374
0.9, 0.001, 0.030387688298406223
